@relation winequality-white-weka.filters.unsupervised.attribute.AddID-Cfirst-NID-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.AddID-Cfirst-Ntype_of_wine-weka.filters.unsupervised.instance.Resample-S1-Z80.0-no-replacement-V

@attribute type_of_wine numeric
@attribute fixed_acidity numeric
@attribute volatile_acidity numeric
@attribute citric_acid numeric
@attribute residual_sugar numeric
@attribute chlorides numeric
@attribute free_sulfur_dioxide numeric
@attribute total_sulfur_dioxide numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute quality {quality,3,4,5,6,7,8,9}

@data
1,7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,6
1999,8.4,0.2,0.38,11.8,0.055,51,170,1.0004,3.34,0.82,8.9,6
3207,6.6,0.29,0.39,6.75,0.031,22,98,0.9913,3.15,0.8,12.9,7
4,7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,6
4792,6.7,0.3,0.5,12.1,0.045,38,127,0.9974,3.04,0.53,8.9,6
6,8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6
1424,9.8,0.25,0.74,10,0.056,36,225,0.9977,3.06,0.43,10,4
1958,7,0.12,0.32,7.2,0.058,22,89,0.9966,3.29,0.38,9.2,6
2080,7.4,0.45,0.32,7.1,0.044,17,117,0.9962,3.32,0.41,10.4,4
10,8.1,0.22,0.43,1.5,0.044,28,129,0.9938,3.22,0.45,11,6
1346,7.3,0.39,0.37,1.1,0.043,36,113,0.991,3.39,0.48,12.7,8
4117,6.2,0.35,0.2,18.1,0.069,33,158,0.99908,3.15,0.5,8.8,6
13,7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8,5
3161,6.5,0.34,0.46,1,0.023,6,80,0.98865,3.15,0.54,12.9,6
6220,5,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,6
6228,7.4,0.6,0.26,2.1,0.083,17,91,0.99616,3.29,0.56,9.8,6
1865,7.1,0.25,0.3,2.4,0.042,25,122,0.994,3.43,0.61,10.5,6
18,6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8
19,7.4,0.34,0.42,1.1,0.033,17,171,0.9917,3.12,0.53,11.3,6
2973,6.3,0.22,0.22,5.6,0.039,31,128,0.99296,3.12,0.46,10.4,6
21,6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8
1912,7.1,0.18,0.26,1.3,0.041,20,71,0.9926,3.04,0.74,9.9,6
2897,7,0.31,0.39,7.5,0.055,42,218,0.99652,3.37,0.54,10.3,5
24,7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3,5
4839,5.3,0.275,0.24,7.4,0.038,28,114,0.99313,3.38,0.51,11,6
5309,9,0.43,0.34,2.5,0.08,26,86,0.9987,3.38,0.62,9.5,6
2120,8,0.16,0.36,1.5,0.033,14,122,0.9941,3.2,0.39,10.3,4
28,7,0.28,0.39,8.7,0.051,32,141,0.9961,3.38,0.53,10.5,6
4315,6.3,0.41,0.22,7.3,0.035,23,117,0.99172,3.2,0.39,11.94,7
30,7.2,0.32,0.36,2,0.033,37,114,0.9906,3.1,0.71,12.3,7
31,8.5,0.24,0.39,10.4,0.044,20,142,0.9974,3.2,0.53,10,6
2258,7.2,0.39,0.54,1.4,0.157,34,132,0.99449,3.11,0.53,9,6
2477,6.8,0.29,0.49,1.4,0.142,52,148,0.9937,3.08,0.49,9,6
3145,6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6
4733,5.3,0.31,0.38,10.5,0.031,53,140,0.99321,3.34,0.46,11.7,6
6411,6.4,0.79,0.04,2.2,0.061,11,17,0.99588,3.53,0.65,10.4,6
5032,6.6,0.5,0.01,1.5,0.06,17,26,0.9952,3.4,0.58,9.8,6
2502,6.4,0.31,0.4,6.4,0.039,39,191,0.99513,3.14,0.52,9.8,5
2633,6.8,0.44,0.2,16,0.065,61,186,0.99884,3.13,0.45,8.6,5
5800,7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,7
3282,6.5,0.32,0.3,2.3,0.051,20,127,0.98964,3.13,0.52,12.8,6
42,6.7,0.24,0.39,2.9,0.173,63,157,0.9937,3.1,0.34,9.4,6
1427,7.2,0.22,0.49,1,0.045,34,140,0.99,3.05,0.34,12.7,6
44,6.6,0.24,0.27,1.4,0.057,33,152,0.9934,3.22,0.56,9.5,6
45,6.7,0.23,0.26,1.4,0.06,33,154,0.9934,3.24,0.56,9.5,6
5756,8.2,0.26,0.34,2.5,0.073,16,47,0.99594,3.4,0.78,11.3,7
3086,8.5,0.23,0.4,9.9,0.036,24,88,0.9951,3.02,0.42,10.5,6
48,6.2,0.46,0.25,4.4,0.066,62,207,0.9939,3.25,0.52,9.8,5
49,7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,6
3058,7.2,0.27,0.37,5.4,0.026,27,114,0.99174,3.13,0.84,12.7,5
5631,7.3,0.835,0.03,2.1,0.092,10,19,0.9966,3.39,0.47,9.6,5
1781,8.4,0.17,0.31,5.4,0.052,47,150,0.9953,3.24,0.38,9.8,5
53,6.2,0.16,0.33,1.1,0.057,21,82,0.991,3.32,0.46,10.9,7
4161,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7
5424,10.4,0.64,0.24,2.8,0.105,29,53,0.9998,3.24,0.67,9.9,5
4719,5.2,0.24,0.15,7.1,0.043,32,134,0.99378,3.24,0.48,9.9,6
2549,6.3,0.26,0.42,7.1,0.045,62,209,0.99544,3.2,0.53,9.5,6
3405,5.8,0.18,0.28,1.3,0.034,9,94,0.99092,3.21,0.52,11.2,6
1520,8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,5
3751,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7
2318,7.5,0.24,0.62,10.6,0.045,51,153,0.99779,3.16,0.44,8.8,5
5818,8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,6
1776,7.7,0.49,1,19.6,0.03,28,135,0.9973,3.24,0.4,12,6
2720,7.5,0.18,0.31,6.5,0.029,53,160,0.99276,3.03,0.38,10.9,6
3042,6.2,0.33,0.41,16.8,0.037,58,173,0.99882,3.25,0.57,9.4,6
66,6.2,0.35,0.03,1.2,0.064,29,120,0.9934,3.22,0.54,9.1,5
5257,11.9,0.43,0.66,3.1,0.109,10,23,1,3.15,0.85,10.4,7
68,6.7,0.25,0.13,1.2,0.041,81,174,0.992,3.14,0.42,9.8,5
3502,6.7,0.24,0.36,8.4,0.042,42,123,0.99473,3.34,0.52,10.9,6
5547,8.7,0.48,0.3,2.8,0.066,10,28,0.9964,3.33,0.67,11.2,7
3573,7.6,0.38,0.28,4.2,0.029,7,112,0.9906,3,0.41,12.6,6
6467,7,0.56,0.13,1.6,0.077,25,42,0.99629,3.34,0.59,9.2,5
3660,5.4,0.53,0.16,2.7,0.036,34,128,0.98856,3.2,0.53,13.2,8
4559,5.9,0.21,0.23,7.9,0.033,22,130,0.9944,3.38,0.59,10.9,6
2575,6.8,0.26,0.24,1.9,0.043,70,154,0.99273,3.18,0.52,10.5,5
3525,5.3,0.36,0.27,6.3,0.028,40,132,0.99186,3.37,0.4,11.6,6
1972,6.3,0.41,0.3,3.2,0.03,49,164,0.9927,3.53,0.79,11.7,7
2196,6.8,0.25,0.18,1.4,0.056,13,137,0.9935,3.11,0.42,9.5,5
79,7.4,0.18,0.3,8.8,0.064,26,103,0.9961,2.94,0.56,9.3,5
5933,8.9,0.745,0.18,2.5,0.077,15,48,0.99739,3.2,0.47,9.7,6
2431,6.4,0.28,0.17,8.3,0.042,61,195,0.99577,3.22,0.46,9.4,5
82,7.1,0.2,0.34,16,0.05,51,166,0.9985,3.21,0.6,9.2,6
2598,6.4,0.22,0.34,1.4,0.023,56,115,0.98958,3.18,0.7,11.7,6
5296,11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,6
85,7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,5
2330,7.6,0.3,0.4,2.2,0.054,29,175,0.99445,3.19,0.53,9.8,5
4008,6.4,0.25,0.57,1,0.062,21,122,0.99238,3,0.4,9.5,5
2328,7,0.35,0.17,1.1,0.049,7,119,0.99297,3.13,0.36,9.7,6
5049,7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,6
4009,6.1,0.25,0.48,15.8,0.052,25,94,0.99782,3.07,0.45,9.2,6
6425,6.8,0.47,0.08,2.2,0.064,18,38,0.99553,3.3,0.65,9.6,6
4379,6.5,0.315,0.2,6.6,0.041,9,126,0.99494,2.94,0.51,8.8,5
93,6.9,0.24,0.33,1.7,0.035,47,136,0.99,3.26,0.4,12.6,7
2741,6.3,0.2,0.19,12.3,0.048,54,145,0.99668,3.16,0.42,9.3,6
3624,6.8,0.45,0.28,26.05,0.031,27,122,1.00295,3.06,0.42,10.6,6
4777,5.8,0.27,0.4,1.2,0.076,47,130,0.99185,3.13,0.45,10.3,6
97,6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,6
3929,6.6,0.32,0.47,15.6,0.063,27,173,0.99872,3.18,0.56,9,5
3472,6.8,0.19,0.4,9.85,0.055,41,103,0.99532,2.98,0.56,10.5,6
100,6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,6
2765,7.9,0.16,0.3,7.4,0.05,58,152,0.99612,3.12,0.37,9.5,6
3239,7.6,0.27,0.29,2.5,0.059,37,115,0.99328,3.09,0.37,9.8,5
1579,6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,5
6355,6,0.54,0.06,1.8,0.05,38,89,0.99236,3.3,0.5,10.55,6
1353,5.7,0.21,0.24,2.3,0.047,60,189,0.995,3.65,0.72,10.1,6
3300,6.8,0.32,0.32,8.7,0.029,31,105,0.99146,3,0.34,12.3,7
1534,7.3,0.26,0.49,5,0.028,32,107,0.9936,3.24,0.54,10.8,6
5115,8.7,0.625,0.16,2,0.101,13,49,0.9962,3.14,0.57,11,5
3377,6.6,0.18,0.28,1.7,0.041,53,161,0.99207,3.13,0.45,10.2,6
1893,6.8,0.24,0.31,18.3,0.046,40,142,1,3.3,0.41,8.7,5
3000,6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,7
2009,7.2,0.15,0.39,1.8,0.043,21,159,0.9948,3.52,0.47,10,5
4994,4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,6
4134,5.7,0.25,0.27,11.5,0.04,24,120,0.99411,3.33,0.31,10.8,6
4089,7.3,0.25,0.27,3.8,0.047,16,79,0.99173,3.07,0.46,11.3,6
2096,8.4,0.28,0.4,8.9,0.048,33,146,0.9988,3.4,0.46,9.3,5
3192,7.6,0.24,0.44,3.8,0.037,49,146,0.9911,3.06,0.37,11.6,6
5221,7.8,0.62,0.05,2.3,0.079,6,18,0.99735,3.29,0.63,9.3,5
4516,7.1,0.28,0.26,2.8,0.039,50,118,0.9908,3.06,0.59,11.2,6
1510,7.9,0.2,0.49,1.6,0.053,15,144,0.993,3.16,0.47,10.5,5
121,5.9,0.36,0.04,5.7,0.046,21,87,0.9934,3.22,0.51,10.2,5
122,7.8,0.24,0.32,12.2,0.054,42,138,0.9984,3.01,0.54,8.8,5
123,7.4,0.16,0.31,6.85,0.059,31,131,0.9952,3.29,0.34,9.7,5
6290,8,0.64,0.22,2.4,0.094,5,33,0.99612,3.37,0.58,11,5
5076,7.5,0.52,0.42,2.3,0.087,8,38,0.9972,3.58,0.61,10.5,6
126,6.7,0.19,0.36,1.1,0.026,63,143,0.9912,3.27,0.48,11,6
4171,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7
4687,6.8,0.63,0.04,1.3,0.058,25,133,0.99271,3.17,0.39,10.2,4
4922,8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,5
5199,7.5,0.53,0.06,2.6,0.086,20,44,0.9965,3.38,0.59,10.7,6
1580,7.6,0.31,0.49,13.4,0.062,50,191,0.9989,3.22,0.53,9,4
4535,6.4,0.24,0.27,1.5,0.04,35,105,0.98914,3.13,0.3,12.4,6
3616,7.2,0.24,0.3,1.2,0.037,11,95,0.98914,2.96,0.36,12.5,6
134,6.6,0.24,0.27,15.8,0.035,46,188,0.9982,3.24,0.51,9.2,5
1725,7,0.13,0.3,5,0.056,31,122,0.9945,3.47,0.42,10.5,6
2262,6.5,0.36,0.31,4.1,0.061,20,134,0.99475,3.18,0.45,9,6
137,8.2,0.23,0.4,1.2,0.027,36,121,0.992,3.12,0.38,10.7,6
3559,5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6
3395,6.5,0.25,0.45,7.8,0.048,52,188,0.99576,3.2,0.53,9.1,5
140,8.1,0.28,0.39,1.9,0.029,18,79,0.9923,3.23,0.52,11.8,6
3842,6.6,0.21,0.5,8.7,0.036,41,191,0.99294,2.96,0.56,11,6
142,7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,5
1674,6.6,0.27,0.31,5.3,0.137,35,163,0.9951,3.2,0.38,9.3,5
6215,5.4,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,6
4168,6.3,0.17,0.32,1,0.04,39,118,0.98886,3.31,0.4,13.1,8
2550,7.5,0.2,0.47,16.9,0.052,51,188,0.99944,3.09,0.62,9.3,5
3105,7.6,0.21,0.49,2.5,0.047,20,130,0.99178,3.15,0.48,11.1,5
148,6.4,0.595,0.14,5.2,0.058,15,97,0.9951,3.38,0.36,9,4
149,6.3,0.34,0.33,4.6,0.034,19,80,0.9917,3.38,0.58,12,7
5147,7.7,0.53,0.06,1.7,0.074,9,39,0.99615,3.35,0.48,9.8,6
1748,8.3,0.3,0.36,10,0.042,33,169,0.9982,3.23,0.51,9.3,6
2847,6.9,0.15,0.29,2.3,0.033,14,82,0.99132,3.1,0.58,11.2,7
3398,6.3,0.19,0.29,5.5,0.042,44,189,0.99304,3.19,0.47,10.3,6
5620,8.9,0.48,0.24,2.85,0.094,35,106,0.9982,3.1,0.53,9.2,5
5959,11.6,0.23,0.57,1.8,0.074,3,8,0.9981,3.14,0.7,9.9,6
5168,11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6
5003,7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4,5
5070,8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6
5483,11.8,0.33,0.49,3.4,0.093,54,80,1.0002,3.3,0.76,10.7,7
4233,6.6,0.39,0.28,9.2,0.036,10,92,0.99206,3.07,0.35,12.1,6
161,6.1,0.32,0.24,1.5,0.036,38,124,0.9898,3.29,0.42,12.4,7
1630,7.8,0.15,0.24,7.7,0.047,21,98,0.9951,2.94,0.31,9.6,6
4092,6.4,0.14,0.28,7.9,0.057,21,82,0.99425,3.26,0.36,10,6
6259,9.2,0.54,0.31,2.3,0.112,11,38,0.99699,3.24,0.56,10.9,5
165,6.7,0.24,0.35,13.1,0.05,64,205,0.997,3.15,0.5,9.5,5
166,7,0.23,0.36,13,0.051,72,177,0.9972,3.16,0.49,9.8,5
5109,9.7,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4,6
4793,4.7,0.785,0,3.4,0.036,23,134,0.98981,3.53,0.92,13.8,6
169,7.5,0.29,0.31,8.95,0.055,20,151,0.9968,3.08,0.54,9.3,5
1367,7,0.14,0.41,0.9,0.037,22,95,0.9914,3.25,0.43,10.9,6
5471,10.2,0.24,0.49,2.4,0.075,10,28,0.9978,3.14,0.61,10.4,5
4789,6.4,0.31,0.31,12.9,0.045,55,161,0.99546,3.02,0.59,10.2,5
6042,7,0.22,0.3,1.8,0.065,16,20,0.99672,3.61,0.82,10,6
1356,7.6,0.19,0.41,1.1,0.04,38,143,0.9907,2.92,0.42,11.4,5
3521,6,0.23,0.15,9.7,0.048,101,207,0.99571,3.05,0.3,9.1,5
176,6.9,0.23,0.4,7.5,0.04,50,151,0.9927,3.11,0.27,11.4,6
3684,6.8,0.15,0.41,12.9,0.044,79.5,183,0.99742,3.24,0.78,10.2,6
5220,9.3,0.61,0.26,3.4,0.09,25,87,0.99975,3.24,0.62,9.7,5
1625,9,0.17,0.49,1,0.039,46,131,0.993,3.09,0.51,10.5,7
2359,7.4,0.32,0.27,12.9,0.04,60,221,0.99831,3.05,0.66,9.4,5
181,6.4,0.33,0.31,5.5,0.048,42,173,0.9951,3.19,0.66,9.3,6
2099,7.4,0.18,0.36,13.1,0.056,72,163,1,3.42,0.35,9.1,6
4384,6.5,0.13,0.27,2.6,0.035,32,76,0.9914,3.21,0.76,11.333333,6
2399,8,0.36,0.39,1.6,0.024,26,93,0.99116,3.15,0.49,11.9,6
6438,7.2,0.39,0.32,1.8,0.065,34,60,0.99714,3.46,0.78,9.9,5
6482,6.2,0.46,0.29,2.1,0.074,32,98,0.99578,3.33,0.62,9.8,5
3706,7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,6
5442,11.2,0.66,0.24,2.5,0.085,16,53,0.9993,3.06,0.72,11,6
189,6.8,0.53,0.35,3.8,0.034,26,109,0.9906,3.26,0.57,12.7,8
190,6.5,0.28,0.28,8.5,0.047,54,210,0.9962,3.09,0.54,8.9,4
