@relation winequality-white-weka.filters.unsupervised.attribute.AddID-Cfirst-NID-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.AddID-Cfirst-Ntype_of_wine-weka.filters.unsupervised.instance.Resample-S1-Z80.0-no-replacement

@attribute type_of_wine numeric
@attribute fixed_acidity numeric
@attribute volatile_acidity numeric
@attribute citric_acid numeric
@attribute residual_sugar numeric
@attribute chlorides numeric
@attribute free_sulfur_dioxide numeric
@attribute total_sulfur_dioxide numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute quality {quality,3,4,5,6,7,8,9}

@data
3775,6.7,0.42,0.39,12.1,0.04,61,248,0.99794,3.31,0.58,9.7,5
5633,7.7,0.56,0.2,2,0.075,9,39,0.9987,3.48,0.62,9.3,5
960,7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,6
3933,6.9,0.22,0.28,7.8,0.05,43,116,0.99326,3.22,0.6,11.5,8
5082,6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,5
6330,7.6,0.43,0.31,2.1,0.069,13,74,0.9958,3.26,0.54,9.9,6
1420,7.6,0.14,0.74,1.6,0.04,27,103,0.9916,3.07,0.4,10.8,7
3467,6.8,0.17,0.34,2,0.04,38,111,0.99,3.24,0.45,12.9,6
3956,7,0.16,0.3,2.6,0.043,34,90,0.99047,2.88,0.47,11.2,6
553,7.8,0.28,0.34,1.6,0.028,32,118,0.9901,3,0.38,12.1,7
3991,7.3,0.23,0.41,14.6,0.048,73,223,0.99863,3.16,0.71,9.4,6
3800,7,0.3,0.28,2.2,0.042,21,177,0.99166,3.2,0.57,11.4,5
5939,7.4,0.965,0,2.2,0.088,16,32,0.99756,3.58,0.67,10.2,5
1039,7.1,0.15,0.34,5.3,0.034,33,104,0.9953,3.37,0.52,9.3,7
2027,6.4,0.26,0.4,1.7,0.179,5,60,0.9925,3.09,0.54,10.1,5
5968,8,0.62,0.35,2.8,0.086,28,52,0.997,3.31,0.62,10.8,5
1868,6.9,0.37,0.28,13.8,0.031,34,137,0.9948,3.1,0.37,11.6,6
5107,7.8,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,0.67,9.4,5
3593,5.6,0.28,0.27,3.9,0.043,52,158,0.99202,3.35,0.44,10.7,7
6280,6.8,0.83,0.09,1.8,0.074,4,25,0.99534,3.38,0.45,9.6,5
686,6.2,0.36,0.26,13.2,0.051,54,201,0.9976,3.25,0.46,9,5
4051,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7
4643,5.7,0.24,0.3,1.3,0.03,25,98,0.98968,3.37,0.43,12.4,7
3930,6.6,0.32,0.47,15.6,0.063,27,173,0.99872,3.18,0.56,9,5
5069,7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,4
2003,7.6,0.17,0.35,1.6,0.047,43,154,0.9934,3.36,0.69,11.1,6
3791,6.4,0.27,0.45,8.3,0.05,52,196,0.9955,3.18,0.48,9.5,5
883,7.4,0.26,0.43,6,0.022,22,125,0.9928,3.13,0.55,11.5,6
1134,8.7,0.22,0.42,2.3,0.053,27,114,0.994,2.99,0.43,10,5
1375,6.9,0.23,0.34,2.7,0.032,24,121,0.9902,3.14,0.38,12.4,7
2327,6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,5
2622,6.6,0.36,0.52,10.1,0.05,29,140,0.99628,3.07,0.4,9.4,5
598,7,0.29,0.37,4.9,0.034,26,127,0.9928,3.17,0.44,10.8,6
4137,5.9,0.65,0.23,5,0.035,20,128,0.99016,3.46,0.48,12.8,6
4477,6,0.2,0.38,1.3,0.034,37,104,0.98865,3.11,0.52,12.7,6
3120,5.9,0.19,0.37,0.8,0.027,3,21,0.9897,3.09,0.31,10.8,5
2277,6.7,0.31,0.18,7.7,0.043,57,200,0.99566,3.17,0.44,9.4,6
4592,7,0.33,0.78,9.9,0.042,21,251,0.99435,3.01,0.55,11,6
1013,8.3,0.16,0.48,1.7,0.057,31,98,0.9943,3.15,0.41,10.3,6
572,6.5,0.28,0.29,2.7,0.038,26,107,0.9912,3.32,0.41,11.6,7
3869,6,0.22,0.25,11.1,0.056,112,177,0.9961,3.08,0.36,9.4,6
4031,6.9,0.19,0.38,1.15,0.023,30,105,0.99047,3.11,0.38,11.4,5
4569,6.4,0.3,0.27,4.4,0.055,17,135,0.9925,3.23,0.44,12.2,6
2086,7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,6
3202,7.9,0.34,0.44,6.5,0.027,47,126,0.99124,2.96,0.37,12.5,6
11,8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12,5
3669,6.5,0.27,0.26,11,0.03,2,82,0.99402,3.07,0.36,11.2,5
723,6.9,0.31,0.34,1.6,0.032,23,128,0.9917,3.37,0.47,11.7,6
1135,7.4,0.41,0.34,4.7,0.042,19,127,0.9953,3.25,0.42,10.4,5
5057,7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,5
2567,6.9,0.21,0.24,1.8,0.021,17,80,0.98992,3.15,0.46,12.3,7
5768,7.6,0.63,0.03,2,0.08,27,43,0.99578,3.44,0.64,10.9,6
5903,8.2,0.43,0.29,1.6,0.081,27,45,0.99603,3.25,0.54,10.3,5
